case_id,sample_type,over_18,consent_q,us_voter,age,gender,education,income,sexuality,religion,jewish_id,anes_party_id,pid_leaners,anes_ideology,2024_recalled_vote,need_for_cognition_1,need_for_cognition_2,trump_approval,generic_ballot,issue_rank_maxdiff,fighting_for_dem,fighting_for_gop,br_change,change_party,future_optimism,attention_check,2028_dem_primary,d_electable_maxdiff,d_base_vs_swing,2028_gop_primary,2028_gop_primary_djt,r_electable_maxdiff,r_base_vs_swing,hersh_battery_1,hersh_battery_2,hersh_battery_3,as_scenarios_1,as_scenarios_2,as_scenarios_3,as_scenarios_4,as_scenarios_5,as_scenarios_6,as_scenarios_7,as_scenarios_8,as_scenarios_9,as_scenarios_10,as_scenarios_11,as_scenarios_12,zionism_def_8,role_of_jews,jews_left_right,israel_exist,israel_military_aid,obbba_open,obbba_benefits,obbba_effects_gen_1,obbba_effects_gen_2,obbba_effects_gen_3,obbba_effects_gen_4,obbba_effects_gen_5,obbba_effects_pers,obbba_maxdiff_1,obbba_maxdiff_2,obbba_maxdiff_3,obbba_maxdiff_4,close_friends,opposite_sex_friends,body_count,leah_battery_1,leah_battery_2,leah_battery_3,leah_battery_4,milestones,trad_battery_1,trad_battery_2,trad_battery_3,trad_battery_4,trad_battery_5,manosphere_battery_1,manosphere_battery_2,manosphere_battery_3,manosphere_battery_4,manosphere_battery_5,manosphere_battery_6,gender_wars_1,gender_wars_2,gender_wars_3,gender_wars_4,gender_wars_5,a_as_whodefinessplit_do_who_defines_a,a_as_whodefinessplit_do_who_defines_b,a_as_whodefinessplit_do_who_defines_c,ces_race,age_actualnumber,weight,who_defines_a_1,who_defines_a_2,who_defines_a_3,who_defines_a_4,who_defines_a_5,who_defines_a_6,who_defines_a_7,who_defines_b_1,who_defines_b_2,who_defines_b_3,who_defines_b_4,who_defines_b_5,who_defines_b_6,who_defines_b_7,who_defines_c_1,who_defines_c_2,who_defines_c_3,who_defines_c_4,who_defines_c_5,who_defines_c_6,who_defines_c_7,zionism_def_1,zionism_def_2,zionism_def_3,zionism_def_4,zionism_def_5,zionism_def_6,zionism_def_7,over_18_label,consent_q_label,us_voter_label,gender_label,education_label,income_label,sexuality_label,religion_label,jewish_id_label,anes_party_id_label,pid_leaners_label,anes_ideology_label,2024_recalled_vote_label,need_for_cognition_1_label,need_for_cognition_2_label,trump_approval_label,generic_ballot_label,issue_rank_maxdiff_label,br_change_label,change_party_label,future_optimism_label,attention_check_label,2028_dem_primary_label,d_electable_maxdiff_label,d_base_vs_swing_label,2028_gop_primary_label,2028_gop_primary_djt_label,r_electable_maxdiff_label,r_base_vs_swing_label,hersh_battery_1_label,hersh_battery_2_label,hersh_battery_3_label,as_scenarios_1_label,as_scenarios_2_label,as_scenarios_3_label,as_scenarios_4_label,as_scenarios_5_label,as_scenarios_6_label,as_scenarios_7_label,as_scenarios_8_label,as_scenarios_9_label,as_scenarios_10_label,as_scenarios_11_label,as_scenarios_12_label,zionism_def_8_label,role_of_jews_label,jews_left_right_label,israel_exist_label,israel_military_aid_label,obbba_benefits_label,obbba_effects_gen_1_label,obbba_effects_gen_2_label,obbba_effects_gen_3_label,obbba_effects_gen_4_label,obbba_effects_gen_5_label,obbba_effects_pers_label,obbba_maxdiff_1_label,obbba_maxdiff_2_label,obbba_maxdiff_3_label,obbba_maxdiff_4_label,leah_battery_1_label,leah_battery_2_label,leah_battery_3_label,leah_battery_4_label,milestones_label,trad_battery_1_label,trad_battery_2_label,trad_battery_3_label,trad_battery_4_label,trad_battery_5_label,manosphere_battery_1_label,manosphere_battery_2_label,manosphere_battery_3_label,manosphere_battery_4_label,manosphere_battery_5_label,manosphere_battery_6_label,gender_wars_1_label,gender_wars_2_label,gender_wars_3_label,gender_wars_4_label,gender_wars_5_label,who_defines_a_1_label,who_defines_a_2_label,who_defines_a_3_label,who_defines_a_4_label,who_defines_a_5_label,who_defines_a_6_label,who_defines_a_7_label,who_defines_b_1_label,who_defines_b_2_label,who_defines_b_3_label,who_defines_b_4_label,who_defines_b_5_label,who_defines_b_6_label,who_defines_b_7_label,who_defines_c_1_label,who_defines_c_2_label,who_defines_c_3_label,who_defines_c_4_label,who_defines_c_5_label,who_defines_c_6_label,who_defines_c_7_label,zionism_def_1_label,zionism_def_2_label,zionism_def_3_label,zionism_def_4_label,zionism_def_5_label,zionism_def_6_label,zionism_def_7_label,age_bin,race,binary_race,age_gender,binary_race_gender,binary_race_education,weight_national,weight_youth
R_3YyogC1WrwsN1U5,18-34 RV oversample,1,1,1,3.0,Female,College+,4.0,1.0,2,,2,,4.0,1.0,3.0,4.0,3.0,3.0,15.0,The middle class,"Freedom, economic prosperity",2.0,3.0,2.0,1,6.0,15.0,2.0,,,,,3.0,3.0,3.0,3.0,,,3.0,,3.0,,,,3.0,,,1.0,3.0,4.0,4.0,5,Chaos,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,,,3,30.0,0.4823365290710223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc.)","At least $100,000 but under $200,000",Straight (heterosexual),Roman Catholic,,Democrat,,Moderate; middle of the road,Kamala Harris,Neither agree nor disagree,Disagree,Somewhat disapprove,Don't know,Climate change,Things could be going better in America and what is needed is a return to basic stability,Both parties equally,Somewhat optimistic,Healthcare,JB Pritzker,Tim Walz,Democrats need to focus on moderating their policies and ideology in order to appeal to a wider range of voters.,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not sure,,,Not sure,,Not sure,,,,Not sure,,,"I'm not familiar with the term ""Zionism""",No impact or neutral impact,Not sure,Not sure,Not sure,"The wealthy (people making more than $200,000)",Agree,Agree,Agree,Agree,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Republicans say: ${e://Field/r_msg_3},Democrats say: ${e://Field/d_msg_4},Not sure,Not sure,Yes,Not sure,I have average experience relative to my peers,Doesn't matter/both equally,The woman,Doesn't matter/both equally,Doesn't matter/both equally,The man,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,,,,None of the above,,,,,,,,,,,,,,,,,,,,,,30-34,Hispanic,Non-white,30-34_Female,Non-white_Female,Non-white_College+,0.3617417751046269,0.7920573759169665
R_6Q9JcRPg86qLwVz,US registered voter,1,1,1,5.0,Female,College+,3.0,1.0,1,,3,3.0,4.0,2.0,5.0,1.0,4.0,3.0,23.0,They're just fighting with each other.,They're just fighting with the Democrats.,2.0,3.0,3.0,1,,,,,,,,5.0,5.0,5.0,3.0,,3.0,,,3.0,,,,3.0,,,1.0,3.0,3.0,1.0,4,stupid,5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,,,1,46.0,1.0374525143711713,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Bachelor's degree,"At least $50,000 but under $100,000",Straight (heterosexual),Protestant,,Independent,Neither,Moderate; middle of the road,Donald Trump,Strongly disagree,Strongly agree,Strongly disapprove,Don't know,Higher education,Things could be going better in America and what is needed is a return to basic stability,Both parties equally,Not very optimistic,Healthcare,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Not sure,,Not sure,,,Not sure,,,,Not sure,,,"I'm not familiar with the term ""Zionism""",No impact or neutral impact,Jews have not pushed American politics to either side.,Israel should exist as a Jewish state,Stopping all military aid to Israel,"The wealthy (people making more than $200,000)",Agree,Agree,Disagree,Disagree,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},No,No,No,No,I have less experience than my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,The U.S. government,,,,,,,,,,,,,,,,,,,,,,,,,45-64,White,White,45-64_Female,White_Female,White_College+,1.189556711812478,
R_12xtYsiyVkQ2MvH,US registered voter,1,1,1,5.0,Male,No College,3.0,1.0,11,2.0,1,,4.0,2.0,3.0,3.0,1.0,2.0,28.0,To be richer and to try and control the American people.,The American people,1.0,2.0,3.0,1,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,3.0,,,,,3.0,,,,3.0,1.0,3.0,4.0,4.0,5,Democrats trying to get rich,8.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,15.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,1.0,,5,56.0,3.7807907681618698,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,"Some college, but no degree","At least $50,000 but under $100,000",Straight (heterosexual),Something else,No,Republican,,Moderate; middle of the road,Donald Trump,Neither agree nor disagree,Neither agree nor disagree,Strongly approve,The Republican,Democracy,Things are going well in America and no real changes are needed,The Republican Party,Not very optimistic,Healthcare,,,,JD Vance,Donald J. Trump,JD Vance,"Republicans need to focus on energizing and turning out the base, by running on conservative, America-first policies that give their voters something to vote for",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Not sure,Not sure,,,,,Not sure,,,,Not sure,"I'm not familiar with the term ""Zionism""",No impact or neutral impact,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Republicans say: ${e://Field/r_msg_1},Republicans say: ${e://Field/r_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Not sure,Not sure,Not sure,Not sure,I have average experience relative to my peers,Not sure,Not sure,Not sure,Not sure,Not sure,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,,,,,,,,,,None of the above,,,,,,,,,,,,,,,45-64,Other,Non-white,45-64_Male,Non-white_Male,Non-white_No College,1.3282999980029089,
R_1dO7j0pGMippk2Z,18-34 RV oversample,1,1,1,2.0,Female,College+,4.0,1.0,1,,2,,6.0,1.0,2.0,4.0,4.0,1.0,20.0,Gaza,Themselves,3.0,1.0,3.0,1,2.0,4.0,1.0,,,,,4.0,4.0,5.0,,,,1.0,,,,1.0,3.0,,,1.0,0.0,1.0,3.0,1.0,3,Spending tax money on the rich,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,,1.0,,1,28.0,0.3329615398248675,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Bachelor's degree,"At least $100,000 but under $200,000",Straight (heterosexual),Protestant,,Democrat,,Conservative,Kamala Harris,Agree,Disagree,Strongly disapprove,The Democrat,Ukraine and Russia,Things in America are going poorly and what is needed is a major change and a shock to the system,The Democratic Party,Not very optimistic,Healthcare,Alexandria Ocasio-Cortez,Wes Moore,Democrats need to focus on energizing and turning out their voter base by running on progressive policies.,,,,,Somewhat disagree,Somewhat disagree,Strongly disagree,,,,It is a form of anti-Jewish prejudice,,,,It is a form of anti-Jewish prejudice,Not sure,,,It is a form of anti-Jewish prejudice,,Positive impact,Jews have not pushed American politics to either side.,Israel should exist as a Jewish state,Decreasing military aid to Israel,Billionaires,Agree,Agree,Disagree,Agree,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,Yes,Yes,Yes,I have less experience than my peers,The woman,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,The man,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Both equally,Both equally,Both equally,Both equally,Young women,,,,,,,,,,,The U.S. government,The university president,,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,,,Establishing and maintaining a Jewish demographic majority in Palestine by driving out the native Palestinian population,,,,23-29,White,White,23-29_Female,White_Female,White_College+,0.4166382256245166,0.7292833783461169
R_3JadjvZWh7BwiZa,US registered voter,1,1,1,5.0,Male,College+,4.0,1.0,5,,2,,3.0,1.0,2.0,5.0,4.0,1.0,6.0,The people who are outside the mainstream.,The rich and the white,2.0,4.0,3.0,1,2.0,15.0,1.0,,,,,4.0,2.0,5.0,,,2.0,,,,2.0,,1.0,1.0,,,0.0,1.0,4.0,1.0,1,Favoring the rich,5.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,4.0,2.0,5.0,5.0,4.0,2.0,3.0,3.0,1.0,,1.0,,4,50.0,2.8757880491491603,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc.)","At least $100,000 but under $200,000",Straight (heterosexual),Jewish,,Democrat,,Slightly liberal,Kamala Harris,Agree,Strongly disagree,Strongly disapprove,The Democrat,Corruption,Things could be going better in America and what is needed is a return to basic stability,Neither party,Not very optimistic,Healthcare,Alexandria Ocasio-Cortez,Tim Walz,Democrats need to focus on energizing and turning out their voter base by running on progressive policies.,,,,,Somewhat disagree,Somewhat agree,Strongly disagree,,,It is NOT a form of anti-Jewish prejudice,,,,It is NOT a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,It is a form of anti-Jewish prejudice,,,,Positive impact,Not sure,Israel should exist as a Jewish state,Increasing military aid to Israel,"The wealthy (people making more than $200,000)",Not sure,Disagree,Disagree,Disagree,Agree,Will have no effect on my personal finances,Democrats say: ${e://Field/d_msg_1},Republicans say: ${e://Field/r_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Not sure,Yes,Not sure,Not sure,I have less experience than my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,The man,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Not sure,Young women,Both equally,Both equally,Young men,,,,,,,,Leaders in the Muslim community,Academic experts on Islamophobia,American society as a whole,,,The Muslim community as a whole,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,,,,The creation of a nation-state where Jews get more rights than others on the land,,,45-64,Asian,Non-white,45-64_Male,Non-white_Male,Non-white_College+,1.6005659065992557,
R_34CbEREeG4O9mCJ,US registered voter,1,1,1,5.0,Male,College+,4.0,1.0,11,1.0,1,,6.0,2.0,2.0,4.0,1.0,2.0,12.0,Immigrants and themselves.  Lining their pockets and provoking political unrest.,Everyday working American.,2.0,2.0,2.0,1,,,,19.0,1.0,13.0,2.0,3.0,4.0,3.0,1.0,1.0,,1.0,,,,,1.0,,,,0.0,3.0,1.0,1.0,2,Love it.,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,,,1,49.0,2.0110418697598176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,Bachelor's degree,"At least $100,000 but under $200,000",Straight (heterosexual),Something else,Yes,Republican,,Conservative,Donald Trump,Agree,Disagree,Strongly approve,The Republican,Israel and Palestine,Things could be going better in America and what is needed is a return to basic stability,The Republican Party,Somewhat optimistic,Healthcare,,,,Donald Trump Jr.,Donald J. Trump,Robert F. Kennedy Jr.,Republicans need to focus on moderating in order to appeal to the swing voters and independents who decide elections,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,It is a form of anti-Jewish prejudice,It is a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,,,,,It is a form of anti-Jewish prejudice,,,,,No impact or neutral impact,Jews have pushed American politics to the right.,Israel should exist as a Jewish state,Maintaining the same amount of military aid to Israel,"The middle class (people making $50,000 to $100,000)",Disagree,Disagree,Agree,Agree,Agree,Will improve my personal finances,Republicans say: ${e://Field/r_msg_1},Republicans say: ${e://Field/r_msg_2},Republicans say: ${e://Field/r_msg_3},Republicans say: ${e://Field/r_msg_4},Yes,Yes,Yes,Yes,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Both equally,Both equally,Both equally,Both equally,Both equally,,,American society as a whole,,,,,,,,,,,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,,,,,,,45-64,White,White,45-64_Male,White_Male,White_College+,1.4090428792196563,
R_7Fx2dtFahm4W0Jb,US registered voter,1,1,1,6.0,Male,College+,4.0,1.0,1,,2,,1.0,1.0,2.0,5.0,4.0,1.0,9.0,All Americans,Billionaires,2.0,3.0,3.0,1,5.0,3.0,2.0,,,,,5.0,5.0,5.0,,,1.0,2.0,2.0,,1.0,,,,,,0.0,1.0,3.0,1.0,3,catastrophe,6.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,1.0,,,1.0,1,71.0,3.799107233753999,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc.)","At least $100,000 but under $200,000",Straight (heterosexual),Protestant,,Democrat,,Extremely liberal,Kamala Harris,Agree,Strongly disagree,Strongly disapprove,The Democrat,K-12 education,Things could be going better in America and what is needed is a return to basic stability,Both parties equally,Not very optimistic,Healthcare,Gavin Newsom,Kamala Harris,Democrats need to focus on moderating their policies and ideology in order to appeal to a wider range of voters.,,,,,Strongly disagree,Strongly disagree,Strongly disagree,,,It is a form of anti-Jewish prejudice,It is NOT a form of anti-Jewish prejudice,It is NOT a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,,,,,,,Positive impact,Jews have not pushed American politics to either side.,Israel should exist as a Jewish state,Decreasing military aid to Israel,Billionaires,Agree,Agree,Disagree,Disagree,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,Yes,Yes,Yes,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Both equally,Both equally,Young women,Both equally,Young men,,,,,,,,,,,,,,,,Academic experts on anti-Black racism,,,,,,,,"The belief that, if the other peoples of the world have a right to statehood, then the Jewish people have the same right",,,,,65+,White,White,65+_Male,White_Male,White_College+,1.376327682818966,
R_6D6Htq3FmfDuh6V,US registered voter,1,1,1,6.0,Male,No College,3.0,1.0,2,,1,,4.0,2.0,2.0,4.0,1.0,2.0,1.0,Illeagles,Americans,1.0,2.0,1.0,1,,,,1.0,2.0,6.0,3.0,2.0,4.0,3.0,2.0,,,,1.0,2.0,,,,,,1.0,0.0,1.0,3.0,1.0,2,Great idea,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,,,1.0,1,67.0,1.179887895097108,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,High school diploma or GED,"At least $50,000 but under $100,000",Straight (heterosexual),Roman Catholic,,Republican,,Moderate; middle of the road,Donald Trump,Agree,Disagree,Strongly approve,The Republican,Cost of living/affordability,Things are going well in America and no real changes are needed,The Republican Party,Very optimistic,Healthcare,,,,JD Vance,JD Vance,Mike Pence,Republicans don't need to change much from their 2024 strategy,Somewhat agree,Somewhat disagree,Neither agree nor disagree,It is NOT a form of anti-Jewish prejudice,,,,It is a form of anti-Jewish prejudice,It is NOT a form of anti-Jewish prejudice,,,,,,It is a form of anti-Jewish prejudice,,Positive impact,Jews have not pushed American politics to either side.,Israel should exist as a Jewish state,Maintaining the same amount of military aid to Israel,"The middle class (people making $50,000 to $100,000)",Not sure,Disagree,Agree,Disagree,Disagree,Will improve my personal finances,Republicans say: ${e://Field/r_msg_1},Republicans say: ${e://Field/r_msg_2},Republicans say: ${e://Field/r_msg_3},Republicans say: ${e://Field/r_msg_4},Yes,Yes,Yes,No,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,The man,Doesn't matter/both equally,The man,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Both equally,Both equally,Both equally,Young women,Young men,,,,,,,,,,,,,,,,,,,,The Black community as a whole,,,"Support for the continued existence of Israel, in the face of calls for its destruction or dissolution",,,,,,65+,White,White,65+_Male,White_Male,White_No College,2.023223697145091,
R_3bW3N3qsCfJwbne,US registered voter,1,1,1,6.0,Female,No College,3.0,1.0,1,,2,,2.0,1.0,4.0,2.0,4.0,1.0,27.0,"For the average person, the working class","For the rich, the billionaires, the high paying CEO's of tech companies",2.0,1.0,3.0,1,5.0,11.0,2.0,,,,,5.0,5.0,5.0,,,1.0,,,,2.0,1.0,3.0,,,,0.0,1.0,3.0,1.0,2,Bad for the country,6.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,,,1,67.0,2.984625858491899,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,"Some college, but no degree","At least $50,000 but under $100,000",Straight (heterosexual),Protestant,,Democrat,,Liberal,Kamala Harris,Disagree,Agree,Strongly disapprove,The Democrat,Guns,Things could be going better in America and what is needed is a return to basic stability,The Democratic Party,Not very optimistic,Healthcare,Gavin Newsom,Mark Kelly,Democrats need to focus on moderating their policies and ideology in order to appeal to a wider range of voters.,,,,,Strongly disagree,Strongly disagree,Strongly disagree,,,It is a form of anti-Jewish prejudice,,,,It is NOT a form of anti-Jewish prejudice,It is a form of anti-Jewish prejudice,Not sure,,,,,Positive impact,Jews have not pushed American politics to either side.,Israel should exist as a Jewish state,Maintaining the same amount of military aid to Israel,Billionaires,Agree,Disagree,Disagree,Agree,Agree,Will have no effect on my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,Yes,Yes,Yes,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Both equally,Both equally,Both equally,Both equally,Young men,Leaders in the Jewish community,Academic experts on antisemitism,,,,,,,,,,,,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,"Support for the continued existence of Israel, in the face of calls for its destruction or dissolution","The belief that, if the other peoples of the world have a right to statehood, then the Jewish people have the same right",,,,,65+,White,White,65+_Female,White_Female,White_No College,2.464186310495472,
R_6DNKW9deYXKLKJy,18-34 RV oversample,1,1,1,3.0,Female,No College,4.0,1.0,1,,3,3.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,Poor,Rich,3.0,3.0,4.0,1,,,,,,,,3.0,5.0,5.0,,3.0,,,,1.0,3.0,,3.0,,,,1.0,1.0,4.0,4.0,5,Cuts to poor,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,,1.0,1,34.0,0.1846454110675791,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,"Some college, but no degree","At least $100,000 but under $200,000",Straight (heterosexual),Protestant,,Independent,Neither,Slightly conservative,Did not vote,Neither agree nor disagree,Agree,Strongly disapprove,Don't know,Jobs,Things in America are going poorly and what is needed is a major change and a shock to the system,Both parties equally,Not optimistic at all,Healthcare,,,,,,,,Neither agree nor disagree,Strongly disagree,Strongly disagree,,Not sure,,,,It is a form of anti-Jewish prejudice,Not sure,,Not sure,,,,"I'm not familiar with the term ""Zionism""",Positive impact,Not sure,Not sure,Not sure,"The wealthy (people making more than $200,000)",Agree,Agree,Disagree,Not sure,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,No,Yes,Not sure,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,,,,,,,,,,,,,,,,,,None of the above,,,,,,,,30-34,White,White,30-34_Female,White_Female,White_No College,0.4417644119261523,1.3013496172821846
